viveiro,ciclo,pop,biom.calc,biom.real,ano,densidade,sobrevive,produtividade,baixas.ac,baixa.mil,g.semana,g.final,ddc,bionutri,tca,biometria.1,id.entrada,dbiometria.1,idadeb.1
1,1,275000.00,1772.58,1823.00,2015,23.71,79.20,1571.55,85.00,0.3091,0.82,8.37,88,0,1.55,2.38,12,28,40
2,1,820000.00,4167.78,4920.00,2015,25.23,90.91,1513.85,50.00,0.0610,0.55,6.61,95,0,1.28,3.38,12,28,40
3,1,610000.00,4828.77,4860.00,2015,15.64,77.28,1246.15,108.00,0.1770,0.80,10.31,91,0,1.27,4.38,12,28,40
4,1,730000.00,4093.57,3614.50,2015,25.00,68.20,1237.84,65.00,0.0890,0.66,7.26,84,0,1.44,2.38,11,31,42
1,2,160000.00,1075.37,1410.00,2015,13.79,100.37,1215.52,64.00,0.4000,0.46,8.78,108,1,1.24,2.38,14,30,44
2,2,450000.00,3534.57,4076.50,2015,13.85,88.55,1254.31,83.00,0.1844,0.73,10.23,100,1,1.23,2.38,14,30,44
3,2,520000.00,4651.08,5100.00,2015,13.33,84.70,1307.69,32.00,0.0615,1.04,11.58,92,1,0.84,3.26,14,30,44
4,2,400000.00,3268.80,3940.00,2015,13.70,93.10,1349.32,26.00,0.0650,0.93,10.58,92,1,0.87,3.13,14,30,44
1,3,160000.00,1541.43,1620.00,2016,13.79,80.94,1396.55,8.00,0.0500,1.05,12.51,88,1,0.98,3.06,19,26,45
2,3,450000.00,4047.65,4735.00,2016,13.85,90.09,1456.92,107.00,0.2378,0.98,11.68,90,1,0.95,2.83,19,26,45
3,3,540000.00,4635.36,5608.00,2016,13.85,92.89,1437.95,70.00,0.1296,0.96,11.18,89,1,0.79,2.58,15,27,42
4,3,410000.00,3447.04,4452.50,2016,14.04,99.18,1524.83,15.00,0.0366,0.92,10.95,89,1,0.82,2.63,15,27,42
1,4,160000.00,1159.69,1230.00,2016,13.79,88.44,1060.34,122.00,0.7625,0.69,9.44,90,1,1.20,3.27,15,30,45
2,4,450000.00,3634.21,3345.00,2016,13.85,70.46,1029.23,372.00,0.8267,0.74,10.55,101,1,1.51,3.12,15,30,45
3,4,540000.00,4718.28,3828.50,2016,13.85,50.82,981.67,156.00,0.2889,0.96,13.95,95,1,1.40,2.75,15,26,41
4,4,410000.00,3480.65,3115.50,2016,14.04,69.52,1066.95,220.00,0.5366,0.88,11.09,94,1,1.35,2.33,15,26,41
1,5,160000.00,1188.88,1260.00,2016,13.79,84.41,1086.21,55.00,0.3438,0.78,9.33,86,1,1.13,3.42,15,26,41
2,5,450000.00,3260.30,3264.00,2016,13.85,77.33,1004.31,94.00,0.2089,0.75,9.38,86,1,1.16,3.35,15,26,41
3,5,540000.00,3703.81,4247.00,2016,13.85,88.57,1088.97,66.00,0.1222,0.76,8.88,84,1,1.10,2.82,15,28,43
4,5,410000.00,2878.66,2683.00,2016,14.04,71.99,918.84,14.00,0.0341,0.83,9.09,88,1,1.28,2.49,15,28,43
1,6,140000.00,1104.12,1267.50,2016,12.07,89.20,1092.67,2.00,0.0143,1.15,10.15,67,0,0.74,3.26,15,26,41
2,6,325000.00,2389.72,2604.00,2016,10.00,85.42,801.23,48.00,0.1477,1.05,9.38,67,0,0.87,3.11,25,26,51
3,6,390000.00,3229.25,4014.00,2016,10.00,96.01,1029.23,53.00,0.1359,0.95,10.72,81,0,0.88,3.15,18,24,42
4,6,292000.00,2474.18,2890.00,2016,10.00,90.22,989.73,13.00,0.0445,1.00,10.97,79,0,0.88,3.01,18,24,42
1,7,140000.00,941.55,1162.50,2017,12.07,96.22,1002.16,0.00,0.0000,1.30,8.63,55,1,0.55,3.43,28,29,57
2,7,325000.00,2393.43,2774.50,2017,10.00,90.34,853.69,19.00,0.0585,1.48,9.45,55,1,0.60,3.55,28,29,57
3,7,390000.00,1953.92,1145.00,2017,10.00,45.80,293.59,58.00,0.1487,1.08,6.41,49,1,1.27,3.18,18,28,46
4,7,292000.00,1476.40,1530.00,2017,10.00,81.24,523.97,26.00,0.0890,1.64,6.45,43,1,0.56,3.15,12,22,34
1,8,93000.00,715.33,857.00,2017,8.02,93.36,738.79,0.00,0.0000,1.16,9.87,56,0,0.61,4.07,22,27,49
2,8,260000.00,2133.57,2160.00,2017,8.00,78.90,664.62,2.00,0.0077,1.26,10.53,56,0,0.69,4.13,22,27,49
3,8,312000.00,2756.91,3432.00,2017,8.00,96.15,880.00,27.00,0.0865,1.10,11.44,75,0,0.79,3.06,17,24,41
4,8,234000.00,2115.54,2295.00,2017,8.01,84.11,785.96,36.00,0.1538,1.22,11.66,74,0,0.92,3.10,17,24,41
1,9,120000.00,647.13,690.00,2017,10.34,83.09,594.83,37.00,0.3083,0.69,6.92,50,0,0.69,4.15,23,28,51
2,9,325000.00,1927.40,2250.00,2017,10.00,90.97,693.31,43.00,0.1323,0.83,7.61,50,0,0.61,4.28,23,28,51
3,9,390000.00,2772.72,2115.00,2017,10.00,57.51,542.31,143.00,0.3667,1.18,9.43,66,1,0.99,3.24,17,30,47
4,9,295000.00,1918.53,1560.00,2017,10.10,63.18,534.25,85.00,0.2881,1.20,8.37,65,1,0.96,2.37,17,30,47
1,10,120000.00,1041.48,960.00,2017,10.34,70.98,827.59,82.00,0.6833,0.90,11.27,78,1,1.05,4.06,19,28,47
2,10,330000.00,2640.44,2790.00,2017,10.15,81.37,858.46,83.00,0.2515,0.82,10.39,78,1,0.98,3.84,19,28,47
3,10,350000.00,2849.73,2587.00,2017,8.97,70.33,663.33,148.00,0.4229,1.19,10.52,72,1,0.83,3.36,16,29,45
4,10,300000.00,2640.18,2880.00,2017,10.27,84.51,986.30,11.00,0.0367,1.42,11.36,71,1,0.69,2.82,16,29,45
1,11,120000.00,1170.42,795.00,2018,10.34,52.62,685.34,118.00,0.9833,1.21,12.59,67,0,1.01,5.62,23,31,54
2,11,330000.00,2904.20,2955.00,2018,10.15,81.36,909.23,10.00,0.0303,1.27,11.36,67,0,0.81,4.81,22,31,53
3,11,470000.00,1866.15,1813.00,2018,12.05,77.77,464.87,164.00,0.3489,0.81,5.08,46,0,0.71,3.34,17,29,46
4,11,300000.00,2734.30,2618.00,2018,10.27,76.71,896.58,2.00,0.0067,1.07,11.80,72,0,1.00,3.25,40,20,60
1,12,145000.00,450.37,274.00,2018,12.5,39.78,236.21,211.00,1.4552,1.58,5.50,43,0,1.34,3.14,14,28,42
2,12,410000.00,1182.56,446.00,2018,12.62,25.42,137.23,486.00,1.1854,0.82,4.92,44,0,2.34,2.65,14,28,42
3,12,470000.00,1908.48,867.22,2018,12.05,35.39,215.38,372.00,0.7915,0.87,5.05,46,0,1.6,3.45,18,30,48
4,12,360000.00,1904.88,1868.48,2018,12.33,76.66,672.95,3.00,0.0083,2.25,7.12,47,0,0.62,3.68,18,30,48
1,13,93000.00,540.8,572.00,2018,8.02,82.67,493.10,72.00,0.7742,1.24,7.44,46,0,0.55,3.46,19,23,42
2,13,260000.00,1424.54,1469.00,2018,8.00,80.60,452.00,88.00,0.3385,1.27,7.01,46,0,0.66,2.98,19,23,42
3,13,312000.00,2329.48,1663.00,2018,8.00,51.90,426.41,172.00,0.5513,1.41,10.27,61,0,0.90,3.52,26,27,53
4,13,234000.00,1065.76,936.00,2018,8.01,55.94,320.55,212.00,0.9060,0.99,7.15,56,0,1.07,3.01,17,27,44
1,14,100000.00,594.24,690.00,2018,8.62,65.09,594.83,117.00,1.1700,1.22,10.6,67,0,0.83,3.09,18,24,42
2,14,260000.00,2064.95,2025.00,2018,8.00,74.96,623.08,83.00,0.3192,1.15,10.39,67,0,0.9,3.02,18,24,42
3,14,312000.00,2587.25,3150.00,2018,8.00,94.98,807.69,103.00,0.3301,0.94,10.63,83,0,0.82,3.14,21,28,49
4,14,235000.00,2239.46,2375.00,2018,8.05,82.98,813.36,32.00,0.1362,1.27,12.18,77,0,0.86,3.26,21,28,49
1,15,104000.00,977.42,986.00,2019,8.97,65.70,850.00,87.00,0.8365,1.62,14.43,79,0,0.90,3.12,16,30,46
2,15,292000.00,2782.21,2871.00,2019,8.98,78.03,883.38,138.00,0.4726,1.34,12.6,79,0,0.92,3.25,16,30,46
3,15,350000.00,2174.64,1357.50,2019,8.97,46.90,348.08,182.00,0.5200,1.04,8.27,64,0,1.41,3.06,18,30,48
4,15,260000.00,2983.12,1935.00,2019,8.90,46.20,662.67,131.00,0.5038,1.52,16.11,80,0,1.17,4.32,18,30,48
1,16,110000.00,832.89,1134.00,2019,9.48,114.55,977.59,0.00,0.0000,1.24,9.00,58,0,0.54,4.05,14,30,44
2,16,300000.00,1981.26,2794.50,2019,9.23,118.66,859.85,0.00,0.0000,1.06,7.85,58,0,0.61,3.62,14,30,44
3,16,350000.00,1998.91,2581.00,2019,8.97,108.93,661.79,0.00,0.0000,1.17,6.77,48,0,0.54,4.07,13,29,42
4,16,260000.00,2435.14,3053.50,2019,8.90,101.59,1045.72,29.00,0.1115,1.26,11.56,73,0,0.70,4.02,12,31,43
1,17,135000.00,922.78,1178.00,2019,11.64,107.46,1015.52,1.00,0.0074,1.03,8.12,52,0,0.51,5.04,18,31,49
2,17,390000.00,3132.87,3710.00,2019,12.00,98.99,1141.54,5.00,0.0128,1.01,9.61,66,0,0.72,4.56,18,31,49
3,17,465000.00,2882.48,3030.00,2019,11.92,83.86,776.92,94.00,0.2022,1.05,7.77,64,0,0.95,3.18,12,25,37
4,17,360000.00,2756.57,2668.00,2019,12.33,80.12,913.70,39.00,0.1083,0.99,9.25,65,0,0.84,3.7,14,29,43
1,18,140000.00,906.37,928.00,2019,12.07,71.05,800.00,84.00,0.6000,0.95,9.33,65,0,0.88,3.64,14,29,43
2,18,400000.00,2973.43,3960.00,2019,12.31,107.14,1218.46,58.00,0.1450,1.54,9.24,59,0,0.56,3.08,14,29,43
3,18,550000.00,4339.1,5377.00,2019,14.10,101.84,1778.72,45.00,0.0818,1.00,9.60,75,0,0.74,3.65,14,31,45
4,18,438000.00,3060.36,3712.00,2019,15.00,96.52,1271.23,71.00,0.1621,0.75,8.78,82,0,0.86,2.78,13,27,40
1,19,174000.00,1170.65,1224.00,2019,15.00,74.52,1055.17,89.00,0.5115,0.90,9.44,82,0,1.04,2.85,13,27,40
2,19,450000.00,3425.82,3630.00,2019,13.85,85.18,1116.92,49.00,0.1089,0.80,9.47,85,0,1.06,2.55,15,28,43
3,19,550000.00,3440.89,3871.50,2020,14.10,92.01,992.69,59.00,0.1073,0.80,7.65,76,0,1.00,2.05,13,28,41
4,19,440000.00,2707.27,3200.00,2020,15.07,97.75,1095.89,18.00,0.0409,0.84,7.44,73,0,0.97,2.56,12,27,39
